Diseases,Symptoms,Specialist,Weight
lymphoma,"hoarse voice , groin mass , neck mass , itchy ear(s) , regurgitation , fatigue , regurgitation.1",Oncologist,39
dermatitis due to sun exposure,"skin swelling , lack of growth , skin dryness, peeling, scaliness, or roughness , skin rash , irregular appearing scalp , skin moles , abnormal appearing skin , skin lesion , acne or pimples",Dermatologist,56
anemia due to chronic kidney disease,"shortness of breath , peripheral edema , recent weight loss , weakness , ankle swelling , fatigue",Nephrologist,44
injury to internal organ,"sharp chest pain , retention of urine , frequent urination , back pain , side pain , sharp abdominal pain",Traumatologist,67
scleritis,"abnormal involuntary movements , pain in eye , spots or clouds in vision , headache , eye redness",Ophthalmologist,79
pterygium,"diminished vision , foreign body sensation in eye , spots or clouds in vision , eye redness , acne or pimples , symptoms of eye , lacrimation",Ophthalmologist,68
fungal infection of the skin,"acne or pimples , irregular appearing scalp , itching of skin , itchy scalp , too little hair , skin rash , skin swelling , skin lesion , skin dryness, peeling, scaliness, or roughness , abnormal appearing skin",Infectious Disease Specialist,45
insulin overdose,"depressive or psychotic symptoms , emotional symptoms",General Practitioner,81
syndrome of inappropriate secretion of adh (siadh),"dizziness , feeling ill , cross-eyed",Endocrinologist,69
foreign body in the ear,"throat feels tight , ear pain , bleeding from ear , diminished hearing , fluid in ear",ENT Specialist,56
premenstrual tension syndrome,"depressive or psychotic symptoms , lower abdominal pain , back pain , unpredictable menstruation , premenstrual tension or irritability , headache",Gynecologist,46
orbital cellulitis,"diminished hearing , peripheral edema , eye redness , fever , pain in eye , swollen eye , symptoms of eye",Ophthalmologist,67
injury to the leg,"knee pain , ankle pain , knee stiffness or tightness , leg swelling , infant feeding problem , irregular appearing nails , ankle swelling , leg pain , foot or toe swelling , knee swelling , foot or toe pain , problems with movement",Orthopedic Surgeon,47
hepatic encephalopathy,"depressive or psychotic symptoms , abusing alcohol , fainting , sharp abdominal pain , fluid retention , shortness of breath",Gastroenterologist,70
bone cancer,"leg pain , peripheral edema , fatigue , low back pain , problems with movement",Oncologist,48
syringomyelia,"fainting , headache , shoulder pain , back pain",Neurologist,67
pulmonary fibrosis,"chest tightness , cough , fainting , difficulty breathing , sharp chest pain , fever , shortness of breath",Pulmonologist,46
mitral valve disease,"shortness of breath , sharp chest pain , dizziness , fatigue , nightmares , increased heart rate , sweating , chest tightness , irregular heartbeat",Cardiologist,56
parkinson disease,"difficulty speaking , problems with movement , leg stiffness or tightness , stiffness all over , dizziness , abnormal involuntary movements , focal weakness , disturbance of memory , weakness",Neurologist,71
gout,"hand or finger pain , knee pain , foot or toe pain , knee swelling , foot or toe swelling , joint pain , wrist pain , ankle pain , leg swelling , ankle swelling , hand or finger swelling , wrist swelling",Rheumatologist,36
otitis media,"sore throat , diminished hearing , vomiting , ear pain , plugged feeling in ear , fever , cough , coryza , pulling at ears , nasal congestion , fluid in ear",ENT Specialist,70
drug abuse (opioids),"anxiety and nervousness , depression , depressive or psychotic symptoms , insomnia , drug abuse , restlessness , excessive anger , temper problems , delusions or hallucinations , abusing alcohol",Addiction Specialist,86
myelodysplastic syndrome,"difficulty speaking , fatigue , chills",Hematologist,85
fracture of the shoulder,"arm pain , arm stiffness or tightness , neck swelling , shoulder swelling , shoulder stiffness or tightness , shoulder pain , bones are painful",Orthopedic Surgeon,38
acute kidney injury,"shortness of breath , dizziness , retention of urine , sharp abdominal pain , peripheral edema , weakness , symptoms of the kidneys , vomiting , nausea , kidney mass , sharp chest pain",Nephrologist,53
threatened pregnancy,"sharp abdominal pain , back pain , problems during pregnancy , uterine contractions , vaginal discharge , pelvic pain , spotting or bleeding during pregnancy , cramps and spasms , blood clots during menstrual periods , intermenstrual bleeding , lower abdominal pain",Obstetrician,34
intracranial abscess,"depressive or psychotic symptoms , headache , seizures",Neurologist,79
gum disease,"toothache , facial pain , mouth ulcer , ear pain , jaw swelling , lip swelling , fever , peripheral edema , bleeding gums , pain in gums , gum pain",Dentist,72
open wound from surgical incision,"skin swelling , flatulence , skin lesion",General Practitioner,89
gastrointestinal hemorrhage,"dizziness , blood in stool , fainting , vomiting , nausea , diarrhea , vomiting blood , changes in stool appearance , rectal bleeding , sharp abdominal pain , melena , weakness",Gastroenterologist,86
seborrheic dermatitis,"acne or pimples , irregular appearing scalp , symptoms of the face , itching of skin , skin dryness, peeling, scaliness, or roughness , skin rash , abnormal appearing skin , skin lesion , skin growth , too little hair , dry or flaky scalp",Dermatologist,49
drug abuse (methamphetamine),"anxiety and nervousness , shortness of breath , palpitations , abusing alcohol , hostile behavior , feeling ill , depressive or psychotic symptoms , drug abuse",Addiction Specialist,42
torticollis,"throat swelling , arm pain , neck pain , neck stiffness or tightness , shoulder pain , headache , abnormal involuntary movements , neck cramps or spasms",Neurologist,81
poisoning due to antihypertensives,"depressive or psychotic symptoms , sharp abdominal pain , weakness",Toxicologist,93
tension headache,"anxiety and nervousness , dizziness , back cramps or spasms , nausea , neck stiffness or tightness , chills , headache , neck pain",Neurologist,83
alcohol intoxication,"sharp chest pain , abnormal involuntary movements , abusing alcohol , problems with movement , anxiety and nervousness , depression , depressive or psychotic symptoms , vomiting",Addiction Specialist,71
scurvy,"sharp abdominal pain , knee lump or mass",Nutritionist,71
narcolepsy,"shortness of breath , insomnia , headache , disturbance of memory , fatigue , apnea , sleepiness",Neurologist,53
food allergy,"cough , lip swelling , abnormal appearing skin , allergic reaction , itching of skin , skin rash , nasal congestion , hand or finger swelling , vomiting",Allergist,73
labyrinthitis,"vomiting , headache , ear pain , plugged feeling in ear , spots or clouds in vision , sweating , dizziness , nausea , diminished hearing , loss of sensation",ENT Specialist,77
anxiety,"anxiety and nervousness , depression , shortness of breath , abnormal involuntary movements , increased heart rate , sharp chest pain , insomnia , palpitations , irregular heartbeat , fears and phobias , headache , depressive or psychotic symptoms",Psychologist,78
impulse control disorder,"depressive or psychotic symptoms , excessive appetite , delusions or hallucinations , temper problems , depression , insomnia , anxiety and nervousness , excessive anger",Psychiatrist,88
stenosis of the tear duct,"white discharge from eye , symptoms of eye , abnormal movement of eyelid , cough , lacrimation",Ophthalmologist,84
abscess of nose,"sore throat , vomiting , fever , sinus congestion , cough , nasal congestion , irritable infant , coryza",ENT Specialist,43
omphalitis,"emotional symptoms , flatulence , irregular belly button",Pediatrician,52
leukemia,"fever , muscle stiffness or tightness , fatigue , mouth pain",Hematologist,45
bell palsy,"abnormal involuntary movements , diminished vision , symptoms of eye , loss of sensation , focal weakness , symptoms of the face , headache , facial pain , weakness , peripheral edema",Neurologist,58
conjunctivitis due to allergy,"cough , nasal congestion , diminished vision , pain in eye , eye redness , lacrimation , itchiness of eye , eye burns or stings , symptoms of eye , allergic reaction , swollen eye , sneezing",Allergist,84
drug reaction,"shortness of breath , throat swelling , vomiting , nausea , peripheral edema , itching of skin , headache , allergic reaction , skin rash , dizziness , abnormal appearing skin",Allergist,47
adrenal cancer,"dizziness , diminished hearing",Oncologist,54
myopia,"pain in eye , eye moves abnormally , foreign body sensation in eye , blindness , symptoms of eye , eye redness , eye deviation , diminished vision , spots or clouds in vision",Ophthalmologist,85
osteoarthritis,"leg pain , hip pain , back pain , knee weakness , elbow pain , knee swelling , hand or finger pain , knee pain , muscle pain , ankle pain , joint pain",Rheumatologist,67
thyroid disease,"lump in throat , throat feels tight , neck mass , difficulty in swallowing",Endocrinologist,87
pharyngitis,"hoarse voice , cough , wheezing , fever , sore throat",ENT Specialist,75
chronic rheumatic fever,"shortness of breath , chest tightness , throat feels tight , increased heart rate , dizziness , palpitations , sharp chest pain",Cardiologist,47
hypocalcemia,"shortness of breath , sharp chest pain , constipation , leg weakness , abnormal involuntary movements",Endocrinologist,80
macular degeneration,"diminished vision , double vision , abnormal movement of eyelid , itchiness of eye , blindness , bleeding from eye , foreign body sensation in eye , spots or clouds in vision , symptoms of eye , pain in eye , lacrimation",Ophthalmologist,59
pneumonia,"shortness of breath , sharp chest pain , sore throat , nasal congestion , vomiting , wheezing , weakness , cough , difficulty breathing , chills , coryza , fever",Pulmonologist,62
cold sore,"sore throat , skin swelling , vaginal itching , mouth ulcer , skin rash , lip sore , lip swelling",Dermatologist,37
premature ventricular contractions (pvcs),"shortness of breath , sharp chest pain , chest tightness , palpitations , irregular heartbeat , impotence , sleepiness , fainting",Cardiologist,69
testicular cancer,"anxiety and nervousness , diminished hearing , mass in scrotum",Oncologist,47
hydrocephalus,"depressive or psychotic symptoms , abnormal involuntary movements , headache , problems with movement , lack of growth , seizures , vomiting",Neurologist,44
breast cancer,"pain or soreness of breast , lump or mass of breast , hot flashes , bleeding or discharge from nipple",Oncologist,69
anemia due to malignancy,"shortness of breath , difficulty in swallowing , flatulence , fatigue",Hematologist,46
esophageal varices,"dizziness , nausea",Gastroenterologist,55
endometrial cancer,"hot flashes , intermenstrual bleeding , absence of menstruation , vaginal bleeding after menopause , vaginal itching",Oncologist,69
cystic fibrosis,"cough , feeling ill , intermenstrual bleeding , decreased appetite",Pulmonologist,45
intertrigo (skin condition),"skin swelling , skin lesion , acne or pimples , skin rash , abnormal appearing skin , skin dryness, peeling, scaliness, or roughness",Dermatologist,44
parathyroid adenoma,"anxiety and nervousness , throat feels tight , disturbance of memory , shoulder pain",Endocrinologist,65
glucocorticoid deficiency,"shortness of breath , lack of growth , diarrhea",Endocrinologist,35
temporomandibular joint disorder,"nasal congestion , diminished hearing , facial pain , pain in eye , neck pain , sore throat , ear pain , headache",Dentist,74
wilson disease,"insomnia , cough , sleepiness",Hepatologist,46
vesicoureteral reflux,"suprapubic pain , involuntary urination , blood in urine , fever",Urologist,84
vitamin a deficiency,"hand or finger pain , knee lump or mass",Nutritionist,77
gonorrhea,"sharp abdominal pain , vaginal discharge , problems with movement , vaginal pain , penile discharge , vaginal itching",Infectious Disease Specialist,67
fracture of the rib,"hip pain , back pain , bones are painful , side pain , shoulder pain , ache all over , back mass or lump , sharp chest pain , rib pain , hurts to breath , shortness of breath",Orthopedic Surgeon,85
ependymoma,"headache , pain in eye , emotional symptoms , diminished vision",Neurologist,56
hepatitis due to a toxin,"jaundice , vomiting , nausea , rectal bleeding , depression , sharp abdominal pain , feeling ill , itching of skin",Hepatologist,65
vaginal cyst,"sharp abdominal pain , lower abdominal pain , vaginal discharge , pain during pregnancy , pelvic pain , vaginal pain , intermenstrual bleeding , problems during pregnancy , spotting or bleeding during pregnancy , blood clots during menstrual periods , heavy menstrual flow , cramps and spasms",Gynecologist,77
open wound of the shoulder,"abusing alcohol , shoulder pain , arm pain",Orthopedic Surgeon,40
ectopic pregnancy,"sharp abdominal pain , vaginal discharge , pain during pregnancy , dizziness , lower abdominal pain , intermenstrual bleeding , pelvic pain , nausea",Obstetrician,49
chronic knee pain,"leg pain , back pain , hip pain , knee weakness , knee stiffness or tightness , leg swelling , knee pain , knee swelling , joint pain",Pain Management Specialist,67
pinguecula,"headache , itching of scrotum , symptoms of eye , lacrimation",Ophthalmologist,47
hypergammaglobulinemia,"blood in stool , fatigue",Hematologist,52
alcohol abuse,"depression , hostile behavior , vomiting blood , smoking problems , abusing alcohol , low self-esteem , anxiety and nervousness , depressive or psychotic symptoms , drug abuse",Addiction Specialist,68
carpal tunnel syndrome,"hand or finger pain , wrist pain , hand or finger stiffness or tightness , elbow pain , arm weakness , hand or finger swelling , arm pain , wrist swelling , paresthesia , loss of sensation , neck pain",Neurologist,80
pituitary disorder,"lack of growth , hot flashes , pain in eye , headache",Endocrinologist,45
kidney stone,"suprapubic pain , frequent urination , lower abdominal pain , blood in urine , back pain , side pain , retention of urine , sharp abdominal pain , vomiting , low back pain , painful urination",Urologist,46
autism,"depressive or psychotic symptoms , difficulty speaking , hostile behavior , constipation , antisocial behavior , lack of growth , long menstrual periods , temper problems , seizures",Developmental Pediatrician,42
cat scratch disease,"skin swelling , groin mass , itchy eyelid",Infectious Disease Specialist,56
chronic glaucoma,"white discharge from eye , diminished vision , symptoms of eye , lacrimation , itchiness of eye , mass on eyelid , pain in eye , spots or clouds in vision , eye burns or stings , foreign body sensation in eye",Ophthalmologist,75
retinal detachment,"double vision , pain in eye , spots or clouds in vision , lacrimation , itchiness of eye , symptoms of eye , blindness , diminished vision",Ophthalmologist,59
aplastic anemia,"lack of growth , weakness , slurring words , fatigue , nausea , fever",Hematologist,46
overflow incontinence,"retention of urine , hand or finger stiffness or tightness , impotence , symptoms of bladder , suprapubic pain , blood in urine , involuntary urination",Urologist,59
hemolytic anemia,"nausea , skin growth , fatigue , cough",Hematologist,56
lateral epicondylitis (tennis elbow),"hand or finger pain , wrist pain , arm pain , elbow pain , joint pain , loss of sensation , shoulder pain , hand or finger stiffness or tightness",Orthopedic Surgeon,76
open wound of the eye,"white discharge from eye , symptoms of eye , pain in eye , spots or clouds in vision , diminished vision",Ophthalmologist,59
syphilis,"headache , vaginal discharge , muscle pain , skin rash",Infectious Disease Specialist,38
diabetic kidney disease,"blood in stool , impotence",Endocrinologist,70
nose disorder,"cough , ear pain , difficulty breathing , coryza , sinus congestion , painful sinuses , nasal congestion , headache , facial pain , fever , nosebleed , sore throat",ENT Specialist,45
drug withdrawal,"anxiety and nervousness , depression , dizziness , vomiting , nausea , chills , sharp abdominal pain",Addiction Specialist,39
dental caries,"toothache , facial pain , peripheral edema , jaw swelling , gum pain , skin irritation , pain in gums , skin swelling , restlessness , ear pain , mouth pain , neck swelling",Dentist,65
hypercholesterolemia,"palpitations , hand or finger stiffness or tightness , weight gain , sharp chest pain , excessive urination at night",Cardiologist,52
fracture of the patella,"leg pain , hip pain , bones are painful , leg weakness , knee pain , knee swelling",Orthopedic Surgeon,45
kidney failure,"shortness of breath , sharp chest pain , nausea , arm swelling , leg swelling , swollen abdomen , symptoms of the kidneys , vomiting",Nephrologist,80
fracture of the neck,"leg pain , hip pain , elbow pain , lower body pain , low back pain",Orthopedic Surgeon,81
muscle spasm,"sharp chest pain , abnormal involuntary movements , leg pain , headache , neck pain , low back pain , back pain , muscle cramps, contractures, or spasms , arm pain , loss of sensation",Neurologist,59
hemophilia,"cough , bleeding gums , leg pain , frontal headache",Hematologist,84
hyperosmotic hyperketotic state,"cough , weakness , frequent urination",Endocrinologist,82
peritonsillar abscess,"throat swelling , throat feels tight , difficulty in swallowing , headache , ear pain , swollen lymph nodes , sore throat",ENT Specialist,39
gastroparesis,"sharp abdominal pain , nausea , burning abdominal pain , upper abdominal pain , sharp chest pain , regurgitation , regurgitation.1 , vomiting",Gastroenterologist,79
itching of unknown cause,"vaginal itching , abnormal appearing skin , allergic reaction , fluid retention , skin dryness, peeling, scaliness, or roughness , itchy scalp , skin rash , problems during pregnancy , itching of skin",Dermatologist,80
polycythemia vera,"dizziness , headache , symptoms of eye , weight gain , fatigue",Hematologist,40
thrombocytopenia,"irregular appearing scalp , fatigue , bleeding gums , sharp chest pain , blood in stool , blood in urine , nosebleed",Hematologist,69
head and neck cancer,"throat feels tight , difficulty in swallowing , neck mass , hemoptysis , sore throat , plugged feeling in ear , hoarse voice , mouth pain",Oncologist,86
pseudohypoparathyroidism,"leg pain , elbow weakness , wrist pain , knee pain",Endocrinologist,61
goiter,"lump in throat , difficulty in swallowing , hot flashes , weight gain , fatigue",Endocrinologist,83
urge incontinence,"retention of urine , vaginal itching , painful urination , involuntary urination , frequent urination , excessive urination at night , constipation , blood in urine , symptoms of bladder",Urologist,38
edward syndrome,"suprapubic pain , cross-eyed",Geneticist,47
open wound of the arm,"arm pain , knee weakness , elbow pain , redness in or around nose",Orthopedic Surgeon,57
muscular dystrophy,"cough , nasal congestion , hip pain , feeling cold , fatigue",Neurologist,82
mittelschmerz,"diarrhea , lower abdominal pain , pelvic pain , sharp abdominal pain , vomiting , painful menstruation",Gynecologist,45
corneal abrasion,"diminished vision , pain in eye , foreign body sensation in eye , lacrimation , eyelid swelling , symptoms of eye , eye redness , itchiness of eye , white discharge from eye",Ophthalmologist,69
anemia of chronic disease,"dizziness , emotional symptoms , feeling ill , weakness",Hematologist,68
dysthymic disorder,"anxiety and nervousness , insomnia , excessive anger , slurring words , disturbance of memory , temper problems , loss of sex drive , depression , depressive or psychotic symptoms",Psychiatrist,67
scarlet fever,"sore throat , throat swelling , skin swelling , fever , cough , skin rash",Pediatrician,38
hypertensive heart disease,"sharp chest pain , insomnia , chest tightness , leg swelling , heartburn , weakness , fatigue , shortness of breath , difficulty breathing , palpitations , recent pregnancy",Cardiologist,32
drug abuse (barbiturates),"anxiety and nervousness , depression , hostile behavior , drug abuse , abnormal involuntary movements , delusions or hallucinations",Addiction Specialist,49
polycystic ovarian syndrome (pcos),"hot flashes , intermenstrual bleeding , pelvic pain , absence of menstruation , unpredictable menstruation , weight gain , long menstrual periods , infertility",Gynecologist,31
encephalitis,"dizziness , insomnia , headache , loss of sensation , disturbance of memory",Neurologist,70
cyst of the eyelid,"skin growth , diminished vision , abnormal movement of eyelid , muscle swelling , mass on eyelid",Ophthalmologist,66
balanitis,"suprapubic pain , painful urination , abnormal appearing skin , diaper rash , itching of skin , penis pain , penis redness , skin rash , cough",Urologist,46
foreign body in the throat,"sore throat , throat swelling , difficulty in swallowing , vomiting , shortness of breath , cough , infant spitting up",ENT Specialist,78
drug abuse (cocaine),"sharp chest pain , drug abuse , excessive anger , delusions or hallucinations , fears and phobias , abusing alcohol , hostile behavior , depression , depressive or psychotic symptoms",Addiction Specialist,89
optic neuritis,"retention of urine , headache , diminished vision , blindness",Ophthalmologist,85
alcohol withdrawal,"depressive or psychotic symptoms , dizziness , abusing alcohol , fainting , seizures , sharp chest pain , abnormal involuntary movements , vomiting , delusions or hallucinations , antisocial behavior",Addiction Specialist,85
premature atrial contractions (pacs),"dizziness , palpitations , fainting , muscle swelling , shortness of breath , irregular heartbeat , fatigue",Cardiologist,55
hemiplegia,"abnormal involuntary movements , headache , problems with movement , weakness , arm stiffness or tightness , seizures , difficulty speaking , loss of sensation , slurring words",Neurologist,84
hammer toe,"skin growth , foot or toe pain , skin lesion , loss of sensation",Podiatrist,79
open wound of the cheek,"wrist pain , facial pain",Oral Surgeon,63
joint effusion,"wrist swelling , elbow pain , knee stiffness or tightness , ankle swelling , wrist pain , ankle pain , problems with movement , knee swelling , knee pain",Orthopedic Surgeon,53
open wound of the knee,"leg pain , leg swelling",Orthopedic Surgeon,62
meningioma,"depressive or psychotic symptoms , dizziness , weakness , headache , disturbance of memory",Neurologist,64
brain cancer,"difficulty speaking , headache , weakness , focal weakness , slurring words , seizures , decreased appetite , disturbance of memory",Oncologist,69
placental abruption,"emotional symptoms , nausea , spotting or bleeding during pregnancy , uterine contractions",Obstetrician,77
seasonal allergies (hay fever),"sore throat , headache , ear pain , frontal headache , lacrimation , coryza , sneezing , cough , allergic reaction , itchiness of eye , nasal congestion",Allergist,86
lung cancer,"shortness of breath , cough , decreased appetite , fatigue , hemoptysis , leg weakness , smoking problems",Oncologist,52
primary kidney disease,"lack of growth , peripheral edema , symptoms of the kidneys , blood in urine , impotence",Nephrologist,72
uterine cancer,"groin mass , pelvic pain , vaginal bleeding after menopause",Oncologist,55
dry eye of unknown cause,"diminished vision , double vision , symptoms of eye , pain in eye , abnormal movement of eyelid , spots or clouds in vision , eye redness , lacrimation , white discharge from eye , foreign body sensation in eye , itchiness of eye",Ophthalmologist,79
fibrocystic breast disease,"intermenstrual bleeding , pain or soreness of breast , bleeding or discharge from nipple , lump or mass of breast",Gynecologist,54
fungal infection of the hair,"skin swelling , abnormal appearing skin , skin lesion , skin growth , irregular appearing scalp , pelvic pain , skin dryness, peeling, scaliness, or roughness , skin irritation , acne or pimples , itching of skin , itchy scalp , skin rash",Infectious Disease Specialist,33
tooth abscess,"skin swelling , lip swelling , toothache , facial pain , neck swelling , mouth pain , pain in gums , jaw swelling , peripheral edema , gum pain",Dentist,62
envenomation from spider or animal bite,"hand or finger swelling , arm swelling , foot or toe swelling , itching of skin , skin swelling , abnormal appearing skin , paresthesia , allergic reaction , fluid retention",Emergency Medicine Specialist,67
vacterl syndrome,"suprapubic pain , emotional symptoms",Geneticist,77
vertebrobasilar insufficiency,"sharp chest pain , leg pain , back pain , dizziness",Neurologist,69
rectal disorder,"blood in stool , diarrhea , pain of the anus , burning abdominal pain , cramps and spasms , melena , itching of the anus , sharp abdominal pain , constipation , heartburn , rectal bleeding",Gastroenterologist,71
atonic bladder,"retention of urine , suprapubic pain , emotional symptoms , impotence , symptoms of bladder",Urologist,48
benign paroxysmal positional vertical (bppv),"irregular heartbeat , vomiting , headache , weakness , dizziness , fainting , problems with movement , frontal headache , nausea",Neurologist,68
blepharospasm,"headache , abnormal movement of eyelid , low back weakness , diminished vision",Ophthalmologist,30
sarcoidosis,"shortness of breath , sharp chest pain , chest tightness , cough , headache , pain in eye , peripheral edema , facial pain",Pulmonologist,82
metastatic cancer,"vaginal dryness , decreased appetite , fatigue , neck mass , focal weakness",Oncologist,43
trigger finger (finger disorder),"hand or finger pain , hand or finger swelling , hand or finger stiffness or tightness , bones are painful , wrist pain , hand or finger cramps or spasms",Orthopedic Surgeon,57
stye,"skin swelling , abnormal appearing skin , eye redness , mass on eyelid , eyelid swelling , eyelid lesion or rash , pain in eye , eye burns or stings , symptoms of eye , itchiness of eye , swollen eye",Ophthalmologist,68
hemochromatosis,"difficulty speaking , ache all over , abnormal appearing skin",Hematologist,55
osteochondroma,"lower abdominal pain , skin lesion , knee pain , foot or toe pain , lip swelling , abnormal appearing skin , skin growth",Orthopedic Surgeon,63
cushing syndrome,"emotional symptoms , weight gain",Endocrinologist,43
typhoid fever,"wrist pain , fever",Infectious Disease Specialist,52
vitreous degeneration,"double vision , pain in eye , foreign body sensation in eye , eye redness , lacrimation , diminished vision , symptoms of eye , spots or clouds in vision",Ophthalmologist,32
atrophic skin condition,"lip swelling , skin lesion , acne or pimples , wrinkles on skin , skin swelling , skin moles , skin growth , skin irritation , abnormal appearing skin",Dermatologist,60
aspergillosis,"shortness of breath , knee lump or mass",Pulmonologist,71
uterine atony,"sharp abdominal pain , blood in urine , pain during pregnancy , back cramps or spasms , intermenstrual bleeding , spotting or bleeding during pregnancy , uterine contractions , problems during pregnancy , lower abdominal pain",Obstetrician,47
trichinosis,"nasal congestion , knee lump or mass",Infectious Disease Specialist,82
whooping cough,"sore throat , nasal congestion , vomiting , shortness of breath , cough",Infectious Disease Specialist,59
open wound of the lip,"lip swelling , dry lips , mouth ulcer , facial pain , mouth pain",Oral Surgeon,66
subacute thyroiditis,"palpitations , blood in stool , problems during pregnancy , pain during pregnancy , uterine contractions",Endocrinologist,74
oral mucosal lesion,"sore throat , cough , lip swelling , toothache , facial pain , fever , mouth pain , mouth ulcer , gum pain , tongue lesions",Dentist,85
open wound due to trauma,"wrist swelling , skin on arm or hand looks infected",Trauma Surgeon,85
intracerebral hemorrhage,"depressive or psychotic symptoms , dizziness , vomiting , headache , diminished vision , blindness , seizures , nausea , weakness , focal weakness",Neurologist,68
alzheimer disease,"depressive or psychotic symptoms , irregular appearing scalp , eye burns or stings , disturbance of memory , delusions or hallucinations , hostile behavior , depression , difficulty speaking",Neurologist,72
vaginismus,"sharp abdominal pain , pain during intercourse , lower abdominal pain , pelvic pain , vaginal pain , suprapubic pain",Gynecologist,84
systemic lupus erythematosis (sle),"bones are painful , leg swelling , ache all over , hand or finger stiffness or tightness , knee pain , sharp chest pain",Rheumatologist,53
premature ovarian failure,"lack of growth , weight gain , absence of menstruation , infertility , pelvic pain",Gynecologist,57
thoracic outlet syndrome,"sharp chest pain , hand or finger pain , arm pain , decreased appetite , shoulder pain , loss of sensation",Neurologist,34
ganglion cyst,"leg pain , skin growth , knee pain , foot or toe pain , knee swelling , knee lump or mass , hand or finger lump or mass , wrist lump or mass , wrist swelling , hand or finger pain",Orthopedic Surgeon,87
dislocation of the knee,"knee pain , knee stiffness or tightness , knee swelling",Orthopedic Surgeon,65
crohn disease,"blood in stool , nausea , pain of the anus , regurgitation , regurgitation.1 , sharp abdominal pain , vomiting , diarrhea , burning abdominal pain , rectal bleeding",Gastroenterologist,47
postoperative infection,"abnormal appearing skin , jaw swelling , sharp abdominal pain , fever , skin on leg or foot looks infected , skin swelling",Infectious Disease Specialist,80
folate deficiency,"sharp chest pain , vomiting blood , difficulty breathing , shortness of breath , sharp abdominal pain",Hematologist,49
fluid overload,"vomiting , nausea , hand or finger swelling , peripheral edema , fluid retention , shortness of breath , sharp chest pain , sharp abdominal pain",Cardiologist,75
atrial flutter,"sharp chest pain , palpitations , irregular heartbeat , frequent urination , swollen lymph nodes , shortness of breath , chest tightness , increased heart rate",Cardiologist,41
skin disorder,"abnormal appearing skin , skin moles , itching of skin , skin irritation , skin swelling , acne or pimples , irregular appearing scalp , skin lesion , skin growth , skin dryness, peeling, scaliness, or roughness",Dermatologist,30
floaters,"diminished vision , lacrimation , symptoms of eye , foreign body sensation in eye , spots or clouds in vision",Ophthalmologist,45
tooth disorder,"toothache , mouth ulcer , peripheral edema , jaw swelling , headache , ear pain , bleeding gums , pain in gums , facial pain , gum pain",Dentist,44
heart attack,"shortness of breath , chest tightness , irregular heartbeat , nausea , arm pain , increased heart rate , burning chest pain , sweating , fainting , sharp chest pain , heartburn",Cardiologist,92
open wound of the abdomen,"sharp abdominal pain , irregular belly button , blindness",Trauma Surgeon,73
fracture of the leg,"leg pain , hip pain , problems with movement , leg swelling , leg stiffness or tightness , knee weakness , knee swelling , ankle swelling , knee pain , ankle pain",Orthopedic Surgeon,89
oral thrush (yeast infection),"sore throat , cough , nasal congestion , fever , tongue lesions , constipation , irritable infant , skin rash , mouth pain , mouth ulcer",Infectious Disease Specialist,35
pityriasis rosea,"skin swelling , vaginal itching , abnormal appearing skin , itching of skin , warts , skin rash",Dermatologist,72
allergy to animals,"sore throat , cough , nasal congestion , cross-eyed , allergic reaction",Allergist,73
orthostatic hypotension,"sharp chest pain , abnormal involuntary movements , irregular heartbeat , fainting , feeling ill , headache , weakness , dizziness",Cardiologist,62
obstructive sleep apnea (osa),"shortness of breath , abnormal involuntary movements , difficulty in swallowing , mouth dryness , fatigue , insomnia , difficulty breathing , sleepiness , apnea , abnormal breathing sounds , weight gain , sweating",Pulmonologist,67
hypokalemia,"shortness of breath , sharp chest pain , sharp abdominal pain , diarrhea , loss of sensation , fever , vomiting , headache , nausea , fainting",Endocrinologist,82
psoriasis,"abnormal appearing skin , skin lesion , skin growth , skin moles , joint pain , skin dryness, peeling, scaliness, or roughness , skin rash , skin swelling , itchy scalp , irregular appearing scalp , itching of skin",Dermatologist,72
dislocation of the shoulder,"wrist pain , arm pain , arm stiffness or tightness , neck mass , shoulder pain , arm swelling",Orthopedic Surgeon,36
intussusception,"blood in stool , emotional symptoms , sharp abdominal pain",Pediatric Surgeon,64
cervicitis,"sharp abdominal pain , nausea , vaginal itching , painful urination , vaginal discharge , pelvic pain , pain during pregnancy , suprapubic pain",Gynecologist,47
abscess of the pharynx,"sharp chest pain , difficulty in swallowing , fever , sore throat , cough , throat swelling , headache , nasal congestion",ENT Specialist,32
primary thrombocythemia,"dizziness , flatulence , fatigue",Hematologist,43
arthritis of the hip,"hip pain , groin pain , hip stiffness or tightness , back pain , low back pain , ache all over , lower body pain , joint pain , leg pain , pelvic pain , problems with movement , knee pain",Orthopedic Surgeon,50
decubitus ulcer,"difficulty speaking , skin lesion , incontinence of stool , skin on leg or foot looks infected",Wound Care Specialist,43
hypernatremia,"shortness of breath , fainting , weakness , fever , difficulty breathing",Endocrinologist,54
sensorineural hearing loss,"hoarse voice , diminished hearing , throat feels tight , ear pain , fluid in ear , plugged feeling in ear , itchy ear(s) , dizziness , nasal congestion , ringing in ear",Otolaryngologist,45
chronic ulcer,"skin lesion , skin pain",Dermatologist,50
osteoporosis,"hip pain , bones are painful , disturbance of memory , leg cramps or spasms , joint pain , early or late onset of menopause , back pain , stomach bloating , muscle cramps, contractures, or spasms",Rheumatologist,69
