ll ,Symptoms,Specialist
syndrome of inappropriate secretion of adh (siadh),"dizziness , feeling ill , cross-eyed",Geneticist
foreign body in the ear,"throat feels tight , ear pain , bleeding from ear , diminished hearing , fluid in ear",General Practitioner
premenstrual tension syndrome,"depressive or psychotic symptoms , lower abdominal pain , back pain , unpredictable menstruation , premenstrual tension or irritability , headache",Geneticist
orbital cellulitis,"diminished hearing , peripheral edema , eye redness , fever , pain in eye , swollen eye , symptoms of eye",Dermatologist
injury to the leg,"knee pain , ankle pain , knee stiffness or tightness , leg swelling , infant feeding problem , irregular appearing nails , ankle swelling , leg pain , foot or toe swelling , knee swelling , foot or toe pain , problems with movement",Traumatologist
hepatic encephalopathy,"depressive or psychotic symptoms , abusing alcohol , fainting , sharp abdominal pain , fluid retention , shortness of breath",General Practitioner
bone cancer,"leg pain , peripheral edema , fatigue , low back pain , problems with movement",Oncologist
syringomyelia,"fainting , headache , shoulder pain , back pain",General Practitioner
pulmonary fibrosis,"chest tightness , cough , fainting , difficulty breathing , sharp chest pain , fever , shortness of breath",General Practitioner
mitral valve disease,"shortness of breath , sharp chest pain , dizziness , fatigue , nightmares , increased heart rate , sweating , chest tightness , irregular heartbeat",General Practitioner
parkinson disease,"difficulty speaking , problems with movement , leg stiffness or tightness , stiffness all over , dizziness , abnormal involuntary movements , focal weakness , disturbance of memory , weakness",General Practitioner
gout,"hand or finger pain , knee pain , foot or toe pain , knee swelling , foot or toe swelling , joint pain , wrist pain , ankle pain , leg swelling , ankle swelling , hand or finger swelling , wrist swelling",General Practitioner
otitis media,"sore throat , diminished hearing , vomiting , ear pain , plugged feeling in ear , fever , cough , coryza , pulling at ears , nasal congestion , fluid in ear",General Practitioner
drug abuse (opioids),"anxiety and nervousness , depression , depressive or psychotic symptoms , insomnia , drug abuse , restlessness , excessive anger , temper problems , delusions or hallucinations , abusing alcohol",General Practitioner
myelodysplastic syndrome,"difficulty speaking , fatigue , chills",Geneticist
fracture of the shoulder,"arm pain , arm stiffness or tightness , neck swelling , shoulder swelling , shoulder stiffness or tightness , shoulder pain , bones are painful",Orthopedic Surgeon
acute kidney injury,"shortness of breath , dizziness , retention of urine , sharp abdominal pain , peripheral edema , weakness , symptoms of the kidneys , vomiting , nausea , kidney mass , sharp chest pain",Traumatologist
threatened pregnancy,"sharp abdominal pain , back pain , problems during pregnancy , uterine contractions , vaginal discharge , pelvic pain , spotting or bleeding during pregnancy , cramps and spasms , blood clots during menstrual periods , intermenstrual bleeding , lower abdominal pain",Obstetrician
intracranial abscess,"depressive or psychotic symptoms , headache , seizures",General Practitioner
gum disease,"toothache , facial pain , mouth ulcer , ear pain , jaw swelling , lip swelling , fever , peripheral edema , bleeding gums , pain in gums , gum pain",General Practitioner
open wound from surgical incision,"skin swelling , flatulence , skin lesion",General Practitioner
gastrointestinal hemorrhage,"dizziness , blood in stool , fainting , vomiting , nausea , diarrhea , vomiting blood , changes in stool appearance , rectal bleeding , sharp abdominal pain , melena , weakness",General Practitioner
seborrheic dermatitis,"acne or pimples , irregular appearing scalp , symptoms of the face , itching of skin , skin dryness, peeling, scaliness, or roughness , skin rash , abnormal appearing skin , skin lesion , skin growth , too little hair , dry or flaky scalp",General Practitioner
drug abuse (methamphetamine),"anxiety and nervousness , shortness of breath , palpitations , abusing alcohol , hostile behavior , feeling ill , depressive or psychotic symptoms , drug abuse",General Practitioner
torticollis,"throat swelling , arm pain , neck pain , neck stiffness or tightness , shoulder pain , headache , abnormal involuntary movements , neck cramps or spasms",General Practitioner
poisoning due to antihypertensives,"depressive or psychotic symptoms , sharp abdominal pain , weakness",General Practitioner
tension headache,"anxiety and nervousness , dizziness , back cramps or spasms , nausea , neck stiffness or tightness , chills , headache , neck pain",Neurologist
alcohol intoxication,"sharp chest pain , abnormal involuntary movements , abusing alcohol , problems with movement , anxiety and nervousness , depression , depressive or psychotic symptoms , vomiting",General Practitioner
scurvy,"sharp abdominal pain , knee lump or mass",General Practitioner
narcolepsy,"shortness of breath , insomnia , headache , disturbance of memory , fatigue , apnea , sleepiness",General Practitioner
food allergy,"cough , lip swelling , abnormal appearing skin , allergic reaction , itching of skin , skin rash , nasal congestion , hand or finger swelling , vomiting",Allergist
labyrinthitis,"vomiting , headache , ear pain , plugged feeling in ear , spots or clouds in vision , sweating , dizziness , nausea , diminished hearing , loss of sensation",General Practitioner
anxiety,"anxiety and nervousness , depression , shortness of breath , abnormal involuntary movements , increased heart rate , sharp chest pain , insomnia , palpitations , irregular heartbeat , fears and phobias , headache , depressive or psychotic symptoms",Psychologist
impulse control disorder,"depressive or psychotic symptoms , excessive appetite , delusions or hallucinations , temper problems , depression , insomnia , anxiety and nervousness , excessive anger",Psychiatrist
stenosis of the tear duct,"white discharge from eye , symptoms of eye , abnormal movement of eyelid , cough , lacrimation",Gastroenterologist
abscess of nose,"sore throat , vomiting , fever , sinus congestion , cough , nasal congestion , irritable infant , coryza",General Practitioner
omphalitis,"emotional symptoms , flatulence , irregular belly button",General Practitioner
leukemia,"fever , muscle stiffness or tightness , fatigue , mouth pain",General Practitioner
bell palsy,"abnormal involuntary movements , diminished vision , symptoms of eye , loss of sensation , focal weakness , symptoms of the face , headache , facial pain , weakness , peripheral edema",General Practitioner
conjunctivitis due to allergy,"cough , nasal congestion , diminished vision , pain in eye , eye redness , lacrimation , itchiness of eye , eye burns or stings , symptoms of eye , allergic reaction , swollen eye , sneezing",Allergist
drug reaction,"shortness of breath , throat swelling , vomiting , nausea , peripheral edema , itching of skin , headache , allergic reaction , skin rash , dizziness , abnormal appearing skin",General Practitioner
adrenal cancer,"dizziness , diminished hearing",Oncologist
myopia,"pain in eye , eye moves abnormally , foreign body sensation in eye , blindness , symptoms of eye , eye redness , eye deviation , diminished vision , spots or clouds in vision",General Practitioner
osteoarthritis,"leg pain , hip pain , back pain , knee weakness , elbow pain , knee swelling , hand or finger pain , knee pain , muscle pain , ankle pain , joint pain",General Practitioner
thyroid disease,"lump in throat , throat feels tight , neck mass , difficulty in swallowing",Endocrinologist
pharyngitis,"hoarse voice , cough , wheezing , fever , sore throat",General Practitioner
chronic rheumatic fever,"shortness of breath , chest tightness , throat feels tight , increased heart rate , dizziness , palpitations , sharp chest pain",General Practitioner
hypocalcemia,"shortness of breath , sharp chest pain , constipation , leg weakness , abnormal involuntary movements",General Practitioner
macular degeneration,"diminished vision , double vision , abnormal movement of eyelid , itchiness of eye , blindness , bleeding from eye , foreign body sensation in eye , spots or clouds in vision , symptoms of eye , pain in eye , lacrimation",General Practitioner
pneumonia,"shortness of breath , sharp chest pain , sore throat , nasal congestion , vomiting , wheezing , weakness , cough , difficulty breathing , chills , coryza , fever",General Practitioner
cold sore,"sore throat , skin swelling , vaginal itching , mouth ulcer , skin rash , lip sore , lip swelling",General Practitioner
premature ventricular contractions (pvcs),"shortness of breath , sharp chest pain , chest tightness , palpitations , irregular heartbeat , impotence , sleepiness , fainting",General Practitioner
testicular cancer,"anxiety and nervousness , diminished hearing , mass in scrotum",Oncologist
hydrocephalus,"depressive or psychotic symptoms , abnormal involuntary movements , headache , problems with movement , lack of growth , seizures , vomiting",General Practitioner
breast cancer,"pain or soreness of breast , lump or mass of breast , hot flashes , bleeding or discharge from nipple",Oncologist
anemia due to malignancy,"shortness of breath , difficulty in swallowing , flatulence , fatigue",General Practitioner
esophageal varices,"dizziness , nausea",General Practitioner
endometrial cancer,"hot flashes , intermenstrual bleeding , absence of menstruation , vaginal bleeding after menopause , vaginal itching",Oncologist
cystic fibrosis,"cough , feeling ill , intermenstrual bleeding , decreased appetite",General Practitioner
intertrigo (skin condition),"skin swelling , skin lesion , acne or pimples , skin rash , abnormal appearing skin , skin dryness, peeling, scaliness, or roughness",General Practitioner
parathyroid adenoma,"anxiety and nervousness , throat feels tight , disturbance of memory , shoulder pain",Endocrinologist
glucocorticoid deficiency,"shortness of breath , lack of growth , diarrhea",General Practitioner
temporomandibular joint disorder,"nasal congestion , diminished hearing , facial pain , pain in eye , neck pain , sore throat , ear pain , headache",Psychiatrist
wilson disease,"insomnia , cough , sleepiness",General Practitioner
vesicoureteral reflux,"suprapubic pain , involuntary urination , blood in urine , fever",General Practitioner
vitamin a deficiency,"hand or finger pain , knee lump or mass",General Practitioner
gonorrhea,"sharp abdominal pain , vaginal discharge , problems with movement , vaginal pain , penile discharge , vaginal itching",General Practitioner
fracture of the rib,"hip pain , back pain , bones are painful , side pain , shoulder pain , ache all over , back mass or lump , sharp chest pain , rib pain , hurts to breath , shortness of breath",Orthopedic Surgeon
ependymoma,"headache , pain in eye , emotional symptoms , diminished vision",General Practitioner
hepatitis due to a toxin,"jaundice , vomiting , nausea , rectal bleeding , depression , sharp abdominal pain , feeling ill , itching of skin",General Practitioner
vaginal cyst,"sharp abdominal pain , lower abdominal pain , vaginal discharge , pain during pregnancy , pelvic pain , vaginal pain , intermenstrual bleeding , problems during pregnancy , spotting or bleeding during pregnancy , blood clots during menstrual periods , heavy menstrual flow , cramps and spasms",General Practitioner
open wound of the shoulder,"abusing alcohol , shoulder pain , arm pain",General Practitioner
ectopic pregnancy,"sharp abdominal pain , vaginal discharge , pain during pregnancy , dizziness , lower abdominal pain , intermenstrual bleeding , pelvic pain , nausea",Obstetrician
chronic knee pain,"leg pain , back pain , hip pain , knee weakness , knee stiffness or tightness , leg swelling , knee pain , knee swelling , joint pain",Pain Management Specialist
pinguecula,"headache , itching of scrotum , symptoms of eye , lacrimation",General Practitioner
hypergammaglobulinemia,"blood in stool , fatigue",General Practitioner
alcohol abuse,"depression , hostile behavior , vomiting blood , smoking problems , abusing alcohol , low self-esteem , anxiety and nervousness , depressive or psychotic symptoms , drug abuse",General Practitioner
carpal tunnel syndrome,"hand or finger pain , wrist pain , hand or finger stiffness or tightness , elbow pain , arm weakness , hand or finger swelling , arm pain , wrist swelling , paresthesia , loss of sensation , neck pain",Geneticist
pituitary disorder,"lack of growth , hot flashes , pain in eye , headache",Psychiatrist
kidney stone,"suprapubic pain , frequent urination , lower abdominal pain , blood in urine , back pain , side pain , retention of urine , sharp abdominal pain , vomiting , low back pain , painful urination",General Practitioner
autism,"depressive or psychotic symptoms , difficulty speaking , hostile behavior , constipation , antisocial behavior , lack of growth , long menstrual periods , temper problems , seizures",General Practitioner
cat scratch disease,"skin swelling , groin mass , itchy eyelid",General Practitioner
chronic glaucoma,"white discharge from eye , diminished vision , symptoms of eye , lacrimation , itchiness of eye , mass on eyelid , pain in eye , spots or clouds in vision , eye burns or stings , foreign body sensation in eye",Ophthalmologist
retinal detachment,"double vision , pain in eye , spots or clouds in vision , lacrimation , itchiness of eye , symptoms of eye , blindness , diminished vision",General Practitioner
aplastic anemia,"lack of growth , weakness , slurring words , fatigue , nausea , fever",General Practitioner
overflow incontinence,"retention of urine , hand or finger stiffness or tightness , impotence , symptoms of bladder , suprapubic pain , blood in urine , involuntary urination",General Practitioner
hemolytic anemia,"nausea , skin growth , fatigue , cough",General Practitioner
lateral epicondylitis (tennis elbow),"hand or finger pain , wrist pain , arm pain , elbow pain , joint pain , loss of sensation , shoulder pain , hand or finger stiffness or tightness",General Practitioner
open wound of the eye,"white discharge from eye , symptoms of eye , pain in eye , spots or clouds in vision , diminished vision",General Practitioner
syphilis,"headache , vaginal discharge , muscle pain , skin rash",General Practitioner
diabetic kidney disease,"blood in stool , impotence",Endocrinologist
nose disorder,"cough , ear pain , difficulty breathing , coryza , sinus congestion , painful sinuses , nasal congestion , headache , facial pain , fever , nosebleed , sore throat",Psychiatrist
drug withdrawal,"anxiety and nervousness , depression , dizziness , vomiting , nausea , chills , sharp abdominal pain",General Practitioner
dental caries,"toothache , facial pain , peripheral edema , jaw swelling , gum pain , skin irritation , pain in gums , skin swelling , restlessness , ear pain , mouth pain , neck swelling",General Practitioner
hypercholesterolemia,"palpitations , hand or finger stiffness or tightness , weight gain , sharp chest pain , excessive urination at night",General Practitioner
fracture of the patella,"leg pain , hip pain , bones are painful , leg weakness , knee pain , knee swelling",Orthopedic Surgeon
kidney failure,"shortness of breath , sharp chest pain , nausea , arm swelling , leg swelling , swollen abdomen , symptoms of the kidneys , vomiting",General Practitioner
fracture of the neck,"leg pain , hip pain , elbow pain , lower body pain , low back pain",Orthopedic Surgeon
muscle spasm,"sharp chest pain , abnormal involuntary movements , leg pain , headache , neck pain , low back pain , back pain , muscle cramps, contractures, or spasms , arm pain , loss of sensation",General Practitioner
hemophilia,"cough , bleeding gums , leg pain , frontal headache",General Practitioner
hyperosmotic hyperketotic state,"cough , weakness , frequent urination",General Practitioner
peritonsillar abscess,"throat swelling , throat feels tight , difficulty in swallowing , headache , ear pain , swollen lymph nodes , sore throat",General Practitioner
gastroparesis,"sharp abdominal pain , nausea , burning abdominal pain , upper abdominal pain , sharp chest pain , regurgitation , regurgitation.1 , vomiting",General Practitioner
itching of unknown cause,"vaginal itching , abnormal appearing skin , allergic reaction , fluid retention , skin dryness, peeling, scaliness, or roughness , itchy scalp , skin rash , problems during pregnancy , itching of skin",General Practitioner
polycythemia vera,"dizziness , headache , symptoms of eye , weight gain , fatigue",General Practitioner
thrombocytopenia,"irregular appearing scalp , fatigue , bleeding gums , sharp chest pain , blood in stool , blood in urine , nosebleed",General Practitioner
head and neck cancer,"throat feels tight , difficulty in swallowing , neck mass , hemoptysis , sore throat , plugged feeling in ear , hoarse voice , mouth pain",Oncologist
pseudohypoparathyroidism,"leg pain , elbow weakness , wrist pain , knee pain",Endocrinologist
goiter,"lump in throat , difficulty in swallowing , hot flashes , weight gain , fatigue",General Practitioner
urge incontinence,"retention of urine , vaginal itching , painful urination , involuntary urination , frequent urination , excessive urination at night , constipation , blood in urine , symptoms of bladder",General Practitioner
edward syndrome,"suprapubic pain , cross-eyed",Geneticist
open wound of the arm,"arm pain , knee weakness , elbow pain , redness in or around nose",General Practitioner
muscular dystrophy,"cough , nasal congestion , hip pain , feeling cold , fatigue",General Practitioner
mittelschmerz,"diarrhea , lower abdominal pain , pelvic pain , sharp abdominal pain , vomiting , painful menstruation",General Practitioner
corneal abrasion,"diminished vision , pain in eye , foreign body sensation in eye , lacrimation , eyelid swelling , symptoms of eye , eye redness , itchiness of eye , white discharge from eye",General Practitioner
anemia of chronic disease,"dizziness , emotional symptoms , feeling ill , weakness",General Practitioner
dysthymic disorder,"anxiety and nervousness , insomnia , excessive anger , slurring words , disturbance of memory , temper problems , loss of sex drive , depression , depressive or psychotic symptoms",Psychiatrist
scarlet fever,"sore throat , throat swelling , skin swelling , fever , cough , skin rash",General Practitioner
hypertensive heart disease,"sharp chest pain , insomnia , chest tightness , leg swelling , heartburn , weakness , fatigue , shortness of breath , difficulty breathing , palpitations , recent pregnancy",General Practitioner
drug abuse (barbiturates),"anxiety and nervousness , depression , hostile behavior , drug abuse , abnormal involuntary movements , delusions or hallucinations",General Practitioner
polycystic ovarian syndrome (pcos),"hot flashes , intermenstrual bleeding , pelvic pain , absence of menstruation , unpredictable menstruation , weight gain , long menstrual periods , infertility",Geneticist
encephalitis,"dizziness , insomnia , headache , loss of sensation , disturbance of memory",General Practitioner
cyst of the eyelid,"skin growth , diminished vision , abnormal movement of eyelid , muscle swelling , mass on eyelid",General Practitioner
balanitis,"suprapubic pain , painful urination , abnormal appearing skin , diaper rash , itching of skin , penis pain , penis redness , skin rash , cough",General Practitioner
foreign body in the throat,"sore throat , throat swelling , difficulty in swallowing , vomiting , shortness of breath , cough , infant spitting up",General Practitioner
drug abuse (cocaine),"sharp chest pain , drug abuse , excessive anger , delusions or hallucinations , fears and phobias , abusing alcohol , hostile behavior , depression , depressive or psychotic symptoms",General Practitioner
optic neuritis,"retention of urine , headache , diminished vision , blindness",General Practitioner
alcohol withdrawal,"depressive or psychotic symptoms , dizziness , abusing alcohol , fainting , seizures , sharp chest pain , abnormal involuntary movements , vomiting , delusions or hallucinations , antisocial behavior",General Practitioner
premature atrial contractions (pacs),"dizziness , palpitations , fainting , muscle swelling , shortness of breath , irregular heartbeat , fatigue",General Practitioner
hemiplegia,"abnormal involuntary movements , headache , problems with movement , weakness , arm stiffness or tightness , seizures , difficulty speaking , loss of sensation , slurring words",General Practitioner
hammer toe,"skin growth , foot or toe pain , skin lesion , loss of sensation",General Practitioner
open wound of the cheek,"wrist pain , facial pain",General Practitioner
joint effusion,"wrist swelling , elbow pain , knee stiffness or tightness , ankle swelling , wrist pain , ankle pain , problems with movement , knee swelling , knee pain",General Practitioner
open wound of the knee,"leg pain , leg swelling",General Practitioner
meningioma,"depressive or psychotic symptoms , dizziness , weakness , headache , disturbance of memory",General Practitioner
brain cancer,"difficulty speaking , headache , weakness , focal weakness , slurring words , seizures , decreased appetite , disturbance of memory",Oncologist
placental abruption,"emotional symptoms , nausea , spotting or bleeding during pregnancy , uterine contractions",General Practitioner
seasonal allergies (hay fever),"sore throat , headache , ear pain , frontal headache , lacrimation , coryza , sneezing , cough , allergic reaction , itchiness of eye , nasal congestion",General Practitioner
lung cancer,"shortness of breath , cough , decreased appetite , fatigue , hemoptysis , leg weakness , smoking problems",Oncologist
primary kidney disease,"lack of growth , peripheral edema , symptoms of the kidneys , blood in urine , impotence",General Practitioner
uterine cancer,"groin mass , pelvic pain , vaginal bleeding after menopause",Oncologist
dry eye of unknown cause,"diminished vision , double vision , symptoms of eye , pain in eye , abnormal movement of eyelid , spots or clouds in vision , eye redness , lacrimation , white discharge from eye , foreign body sensation in eye , itchiness of eye",General Practitioner
fibrocystic breast disease,"intermenstrual bleeding , pain or soreness of breast , bleeding or discharge from nipple , lump or mass of breast",General Practitioner
fungal infection of the hair,"skin swelling , abnormal appearing skin , skin lesion , skin growth , irregular appearing scalp , pelvic pain , skin dryness, peeling, scaliness, or roughness , skin irritation , acne or pimples , itching of skin , itchy scalp , skin rash",Infectious Disease Specialist
tooth abscess,"skin swelling , lip swelling , toothache , facial pain , neck swelling , mouth pain , pain in gums , jaw swelling , peripheral edema , gum pain",General Practitioner
envenomation from spider or animal bite,"hand or finger swelling , arm swelling , foot or toe swelling , itching of skin , skin swelling , abnormal appearing skin , paresthesia , allergic reaction , fluid retention",General Practitioner
vacterl syndrome,"suprapubic pain , emotional symptoms",Geneticist
vertebrobasilar insufficiency,"sharp chest pain , leg pain , back pain , dizziness",General Practitioner
rectal disorder,"blood in stool , diarrhea , pain of the anus , burning abdominal pain , cramps and spasms , melena , itching of the anus , sharp abdominal pain , constipation , heartburn , rectal bleeding",Psychiatrist
atonic bladder,"retention of urine , suprapubic pain , emotional symptoms , impotence , symptoms of bladder",General Practitioner
benign paroxysmal positional vertical (bppv),"irregular heartbeat , vomiting , headache , weakness , dizziness , fainting , problems with movement , frontal headache , nausea",General Practitioner
blepharospasm,"headache , abnormal movement of eyelid , low back weakness , diminished vision",General Practitioner
sarcoidosis,"shortness of breath , sharp chest pain , chest tightness , cough , headache , pain in eye , peripheral edema , facial pain",General Practitioner
metastatic cancer,"vaginal dryness , decreased appetite , fatigue , neck mass , focal weakness",Oncologist
trigger finger (finger disorder),"hand or finger pain , hand or finger swelling , hand or finger stiffness or tightness , bones are painful , wrist pain , hand or finger cramps or spasms",Psychiatrist
stye,"skin swelling , abnormal appearing skin , eye redness , mass on eyelid , eyelid swelling , eyelid lesion or rash , pain in eye , eye burns or stings , symptoms of eye , itchiness of eye , swollen eye",General Practitioner
hemochromatosis,"difficulty speaking , ache all over , abnormal appearing skin",General Practitioner
osteochondroma,"lower abdominal pain , skin lesion , knee pain , foot or toe pain , lip swelling , abnormal appearing skin , skin growth",General Practitioner
cushing syndrome,"emotional symptoms , weight gain",Geneticist
typhoid fever,"wrist pain , fever",General Practitioner
vitreous degeneration,"double vision , pain in eye , foreign body sensation in eye , eye redness , lacrimation , diminished vision , symptoms of eye , spots or clouds in vision",General Practitioner
atrophic skin condition,"lip swelling , skin lesion , acne or pimples , wrinkles on skin , skin swelling , skin moles , skin growth , skin irritation , abnormal appearing skin",General Practitioner
aspergillosis,"shortness of breath , knee lump or mass",General Practitioner
uterine atony,"sharp abdominal pain , blood in urine , pain during pregnancy , back cramps or spasms , intermenstrual bleeding , spotting or bleeding during pregnancy , uterine contractions , problems during pregnancy , lower abdominal pain",General Practitioner
trichinosis,"nasal congestion , knee lump or mass",General Practitioner
whooping cough,"sore throat , nasal congestion , vomiting , shortness of breath , cough",General Practitioner
open wound of the lip,"lip swelling , dry lips , mouth ulcer , facial pain , mouth pain",General Practitioner
subacute thyroiditis,"palpitations , blood in stool , problems during pregnancy , pain during pregnancy , uterine contractions",Endocrinologist
oral mucosal lesion,"sore throat , cough , lip swelling , toothache , facial pain , fever , mouth pain , mouth ulcer , gum pain , tongue lesions",General Practitioner
open wound due to trauma,"wrist swelling , skin on arm or hand looks infected",General Practitioner
intracerebral hemorrhage,"depressive or psychotic symptoms , dizziness , vomiting , headache , diminished vision , blindness , seizures , nausea , weakness , focal weakness",General Practitioner
alzheimer disease,"depressive or psychotic symptoms , irregular appearing scalp , eye burns or stings , disturbance of memory , delusions or hallucinations , hostile behavior , depression , difficulty speaking",General Practitioner
vaginismus,"sharp abdominal pain , pain during intercourse , lower abdominal pain , pelvic pain , vaginal pain , suprapubic pain",General Practitioner
systemic lupus erythematosis (sle),"bones are painful , leg swelling , ache all over , hand or finger stiffness or tightness , knee pain , sharp chest pain",General Practitioner
premature ovarian failure,"lack of growth , weight gain , absence of menstruation , infertility , pelvic pain",General Practitioner
thoracic outlet syndrome,"sharp chest pain , hand or finger pain , arm pain , decreased appetite , shoulder pain , loss of sensation",Geneticist
ganglion cyst,"leg pain , skin growth , knee pain , foot or toe pain , knee swelling , knee lump or mass , hand or finger lump or mass , wrist lump or mass , wrist swelling , hand or finger pain",General Practitioner
dislocation of the knee,"knee pain , knee stiffness or tightness , knee swelling",General Practitioner
crohn disease,"blood in stool , nausea , pain of the anus , regurgitation , regurgitation.1 , sharp abdominal pain , vomiting , diarrhea , burning abdominal pain , rectal bleeding",General Practitioner
postoperative infection,"abnormal appearing skin , jaw swelling , sharp abdominal pain , fever , skin on leg or foot looks infected , skin swelling",Infectious Disease Specialist
folate deficiency,"sharp chest pain , vomiting blood , difficulty breathing , shortness of breath , sharp abdominal pain",General Practitioner
fluid overload,"vomiting , nausea , hand or finger swelling , peripheral edema , fluid retention , shortness of breath , sharp chest pain , sharp abdominal pain",General Practitioner
atrial flutter,"sharp chest pain , palpitations , irregular heartbeat , frequent urination , swollen lymph nodes , shortness of breath , chest tightness , increased heart rate",General Practitioner
skin disorder,"abnormal appearing skin , skin moles , itching of skin , skin irritation , skin swelling , acne or pimples , irregular appearing scalp , skin lesion , skin growth , skin dryness, peeling, scaliness, or roughness",Psychiatrist
floaters,"diminished vision , lacrimation , symptoms of eye , foreign body sensation in eye , spots or clouds in vision",General Practitioner
tooth disorder,"toothache , mouth ulcer , peripheral edema , jaw swelling , headache , ear pain , bleeding gums , pain in gums , facial pain , gum pain",Psychiatrist
heart attack,"shortness of breath , chest tightness , irregular heartbeat , nausea , arm pain , increased heart rate , burning chest pain , sweating , fainting , sharp chest pain , heartburn",Cardiologist
open wound of the abdomen,"sharp abdominal pain , irregular belly button , blindness",General Practitioner
fracture of the leg,"leg pain , hip pain , problems with movement , leg swelling , leg stiffness or tightness , knee weakness , knee swelling , ankle swelling , knee pain , ankle pain",Orthopedic Surgeon
oral thrush (yeast infection),"sore throat , cough , nasal congestion , fever , tongue lesions , constipation , irritable infant , skin rash , mouth pain , mouth ulcer",Infectious Disease Specialist
pityriasis rosea,"skin swelling , vaginal itching , abnormal appearing skin , itching of skin , warts , skin rash",General Practitioner
allergy to animals,"sore throat , cough , nasal congestion , cross-eyed , allergic reaction",Allergist
orthostatic hypotension,"sharp chest pain , abnormal involuntary movements , irregular heartbeat , fainting , feeling ill , headache , weakness , dizziness",General Practitioner
obstructive sleep apnea (osa),"shortness of breath , abnormal involuntary movements , difficulty in swallowing , mouth dryness , fatigue , insomnia , difficulty breathing , sleepiness , apnea , abnormal breathing sounds , weight gain , sweating",General Practitioner
hypokalemia,"shortness of breath , sharp chest pain , sharp abdominal pain , diarrhea , loss of sensation , fever , vomiting , headache , nausea , fainting",General Practitioner
psoriasis,"abnormal appearing skin , skin lesion , skin growth , skin moles , joint pain , skin dryness, peeling, scaliness, or roughness , skin rash , skin swelling , itchy scalp , irregular appearing scalp , itching of skin",General Practitioner
dislocation of the shoulder,"wrist pain , arm pain , arm stiffness or tightness , neck mass , shoulder pain , arm swelling",General Practitioner
intussusception,"blood in stool , emotional symptoms , sharp abdominal pain",General Practitioner
cervicitis,"sharp abdominal pain , nausea , vaginal itching , painful urination , vaginal discharge , pelvic pain , pain during pregnancy , suprapubic pain",General Practitioner
abscess of the pharynx,"sharp chest pain , difficulty in swallowing , fever , sore throat , cough , throat swelling , headache , nasal congestion",General Practitioner
primary thrombocythemia,"dizziness , flatulence , fatigue",General Practitioner
arthritis of the hip,"hip pain , groin pain , hip stiffness or tightness , back pain , low back pain , ache all over , lower body pain , joint pain , leg pain , pelvic pain , problems with movement , knee pain",General Practitioner
decubitus ulcer,"difficulty speaking , skin lesion , incontinence of stool , skin on leg or foot looks infected",General Practitioner
hypernatremia,"shortness of breath , fainting , weakness , fever , difficulty breathing",General Practitioner
sensorineural hearing loss,"hoarse voice , diminished hearing , throat feels tight , ear pain , fluid in ear , plugged feeling in ear , itchy ear(s) , dizziness , nasal congestion , ringing in ear",General Practitioner
chronic ulcer,"skin lesion , skin pain",General Practitioner
osteoporosis,"hip pain , bones are painful , disturbance of memory , leg cramps or spasms , joint pain , early or late onset of menopause , back pain , stomach bloating , muscle cramps, contractures, or spasms",General Practitioner
ileus,"headache , diarrhea , lower abdominal pain , pain of the anus , sharp abdominal pain , nausea , burning abdominal pain , constipation , vomiting",General Practitioner
sickle cell crisis,"sharp chest pain , leg pain , hip pain , sharp abdominal pain , vomiting , back pain , ache all over , low back pain , knee pain , arm pain , burning abdominal pain",General Practitioner
urethritis,"retention of urine , suprapubic pain , sharp abdominal pain , vaginal itching , frequent urination , blood in urine , painful urination , penis pain , penile discharge",General Practitioner
prostatitis,"retention of urine , sharp abdominal pain , frequent urination , blood in urine , back pain , impotence , fever , lower abdominal pain , chills , painful urination",General Practitioner
otitis externa (swimmer's ear),"cough , diminished hearing , ringing in ear , itchy ear(s) , sore throat , facial pain , plugged feeling in ear , fever , ear pain , fluid in ear , redness in ear",General Practitioner
poisoning due to anticonvulsants,"dizziness , difficulty speaking , problems with movement , depression",General Practitioner
testicular torsion,"emotional symptoms , symptoms of the scrotum and testes , back pain , swelling of scrotum , pain in testicles , sharp abdominal pain",General Practitioner
tricuspid valve disease,"anxiety and nervousness , emotional symptoms",General Practitioner
urethral stricture,"suprapubic pain , painful urination , involuntary urination , blood in urine , symptoms of bladder , symptoms of the scrotum and testes , retention of urine , symptoms of prostate",General Practitioner
vitamin d deficiency,"hot flashes , arm stiffness or tightness , fatigue",General Practitioner
hydatidiform mole,"dizziness , sharp abdominal pain , diminished vision , pain during pregnancy , spotting or bleeding during pregnancy",General Practitioner
pain disorder affecting the neck,"headache , arm pain , back pain , low back pain , insomnia , neck pain , neck stiffness or tightness , disturbance of memory , dizziness",Psychiatrist
tuberculosis,"cough , vaginal itching , shortness of breath , congestion in chest",General Practitioner
pelvic fistula,"dizziness , elbow weakness , vaginal discharge",General Practitioner
acute bronchiolitis,"cough , nasal congestion , irritable infant , vomiting , wheezing , decreased appetite , fever , difficulty breathing , pulling at ears , hurts to breath , coryza , shortness of breath",General Practitioner
presbyopia,"difficulty speaking , symptoms of eye , pain in eye , abnormal movement of eyelid , foreign body sensation in eye , spots or clouds in vision , diminished vision",General Practitioner
dementia,"depressive or psychotic symptoms , insomnia , abnormal involuntary movements , hostile behavior , problems with movement , disturbance of memory , focal weakness , delusions or hallucinations",General Practitioner
